Sample	Fws
PD0802-C	0.57204545
PD0803-C	0.9988482
PD0804-C	0.99901485
PD0806-C	0.9992846
PD0808-C	0.8975636
PD0809-C	0.9933236
PD0810-C	0.99806535
PD0813-C	0.99853826
PD0814-C	0.9995048
PD0816-C	0.99927616
PD0817-C	0.9997122
PD0818-C	0.9991224
PD0819-C	0.9996046
PD0820-C	0.9988604
PD0821-C	0.8133954
PD0822-C	0.9996977
PD0823-C	0.9997706
PD0824-C	0.9998595
PD0825-C	1.0
PD0826-C	0.99953836
PD0827-C	0.9991759
PD0828-C	0.999685
PD0829-C	0.9996491
PD0830-C	0.998968
PD0831-C	0.998114
PD0832-C	0.9996757
PD0833-C	0.9782813
PD0834-C	0.99972165
PD0835-C	0.9997739
PD0836-C	0.9985058
PD0837-C	0.99986774
PD0838-C	0.9989169
PD0839-C	0.9991922
PD0840-C	0.9211437
PD0841-C	0.9991574
